AIDS,PIB,Usuários Internet,Crescimento Populacional,Desemprego,Investimentos Educação,Analfabetismo 15 e 24,Analfabetismo 25 e 64,Qtd Professores EF,Crianças Fora Escola,Qtd Alunos por professor,Qtd Alunos EF
0.0,6.97,3.13,2.81,1.0,5.03,924.0,5306.86,38540.0,5.88,46.39,94.12
0.0,7.81,4.15,2.8,1.0,5.03,924.0,5306.86,42293.0,5.94,44.2,94.06
0.0,8.15,4.5,2.8,1.0,4.87,947790.0,2479843.61,45010.0,5.14,44.15,94.86
0.0,9.16,4.9,2.79,1.1,4.55,947790.0,2479843.61,47201.0,5.14,43.73,94.86
0.0,9.71,6.0,2.78,1.0,4.32,947790.0,2479843.61,46454.0,4.13,45.92,95.87
0.0,8.29,11.25,2.77,1.0,4.36,947790.0,2479843.61,49688.0,4.13,45.04,95.87
0.0,12.79,6.0,1.75,17.9,4.36,947790.0,2479843.61,49688.0,4.13,45.04,95.87
0.0,15.68,9.0,1.79,17.6,4.36,947790.0,2479843.61,49688.0,4.13,45.04,95.87
0.0,14.69,16.0,1.83,17.4,4.36,947790.0,2479843.61,14342.0,9.23,23.42,90.77
0.0,14.92,30.0,1.86,17.5,4.36,947790.0,2479843.61,15035.0,8.64,22.62,91.36
0.0,16.26,36.74,1.86,17.1,4.36,947790.0,2479843.61,15035.0,8.64,22.62,91.36
0.0,14.43,37.31,1.86,16.8,4.36,947790.0,2479843.61,15035.0,8.64,22.62,91.36
1.0,50.61,46.23,-0.66,10.3,3.86,947790.0,2479843.61,14885.0,0.67,17.49,99.33
0.0,57.42,47.98,-0.64,11.3,3.56,17961.0,52678.16,14608.0,1.4,17.46,98.6
0.0,53.9,51.9,-0.58,12.3,3.5,17961.0,52678.16,14489.0,3.01,17.42,96.99
0.0,55.76,53.06,-0.56,12.9,4.06,17961.0,52678.16,14388.0,3.38,17.63,96.62
0.0,56.73,55.49,-0.57,11.4,4.06,17961.0,52678.16,14596.0,3.64,17.73,96.36
0.0,50.2,56.66,-0.64,9.1,4.06,17961.0,52678.16,14596.0,5.06,17.73,94.94
0.0,8.98,2.4,3.02,3.3,3.94,17961.0,52678.16,39077.0,39.93,52.4,60.07
0.0,10.72,3.0,3.01,3.3,4.48,17961.0,52678.16,41857.0,35.36,52.69,64.64
0.0,11.17,3.73,3.0,3.3,4.05,17961.0,52678.16,48592.0,34.25,48.24,65.75
0.0,11.95,9.1,2.98,3.3,4.6,17961.0,52678.16,53505.0,33.38,46.1,66.62
0.0,12.38,9.4,2.96,3.3,4.6,1727918.0,3956190.24,58294.0,32.05,44.5,67.95
0.0,10.42,11.39,2.94,3.3,4.06,1727918.0,3956190.24,64177.0,30.34,42.18,69.66
0.0,2.03,1.0,3.22,1.6,6.81,1727918.0,3956190.24,36557.0,8.48,50.6,91.52
0.0,2.36,1.11,3.11,1.6,6.0,1727918.0,3956190.24,40288.0,8.48,48.31,91.52
0.0,2.47,1.22,3.01,1.6,5.82,1727918.0,3956190.24,42052.0,8.48,47.1,91.52
0.0,2.71,1.26,2.97,1.6,5.42,1727918.0,3956190.24,44662.0,8.95,45.0,91.05
0.0,3.09,1.38,2.99,1.6,5.42,424545.0,1612572.61,46887.0,4.32,43.65,95.68
0.0,3.07,4.87,3.06,1.5,5.42,424545.0,1612572.61,47949.0,5.39,43.22,94.61
0.0,1.66,30.0,1.08,10.7,5.55,424545.0,1612572.61,3009.0,4.75,23.64,95.25
0.0,1.86,32.0,1.12,10.7,5.04,424545.0,1612572.61,2972.0,3.29,23.26,96.71
0.0,1.75,34.74,1.16,10.6,5.04,2146.0,28427.53,2956.0,1.57,22.97,98.43
0.0,1.85,37.5,1.19,10.5,4.99,2146.0,28427.53,2955.0,1.58,22.93,98.42
0.0,1.86,40.26,1.21,10.4,4.99,2146.0,28427.53,2965.0,1.76,22.6,98.24
0.0,1.57,47.96,1.22,10.4,4.99,2060.0,27173.71,2988.0,2.73,21.95,97.27
0.0,11.24,1.26,1.54,0.4,1.54,2060.0,27173.71,46905.0,6.72,48.45,93.28
0.0,12.83,3.1,1.59,0.2,1.51,2060.0,27173.71,47033.0,2.48,47.29,97.52
0.0,14.04,4.94,1.63,0.2,1.56,2060.0,27173.71,48002.0,2.59,45.72,97.41
0.0,15.45,6.8,1.65,0.3,2.02,2060.0,27173.71,47413.0,2.59,46.93,97.41
0.0,16.78,14.0,1.64,0.1,1.9,2060.0,27173.71,47691.0,5.29,44.63,94.71
0.0,18.05,19.0,1.6,0.1,1.9,2060.0,27173.71,47866.0,5.07,45.52,94.93
0.0,26.14,4.3,2.73,4.1,3.31,812358.0,1993215.51,76655.0,5.07,45.79,94.93
0.0,29.34,5.0,2.72,4.1,3.06,812358.0,1993215.51,78903.0,12.37,45.44,87.63
0.0,29.1,7.5,2.7,4.1,2.97,812358.0,1993215.51,84467.0,5.94,45.56,94.06
0.0,32.35,10.0,2.68,4.1,3.03,812358.0,1993215.51,84467.0,5.94,45.56,94.06
0.0,34.94,16.21,2.66,4.1,3.03,812358.0,1993215.51,93738.0,5.3,44.2,94.7
